model,technique,video,crime_type,judge,H1,H2,H3,H4,H5,H6,judge_confidence,judge_reasoning,confidence,reasoning,rerun
Claude,CHAIN-OF-THOUGHT,Fighting016_x264,Fighting,GPT,0,1,0,0,0,0,high,"The verified crime type is Fighting, but the model explicitly characterizes it as an ""obvious robbery/assault,"" which is a different crime classification. Other details (store setting, multiple people, police arrival) do not clearly contradict the ground truth.",,,
Claude,CHAIN-OF-THOUGHT,Fighting016_x264,Fighting,Gemini,0,1,0,0,0,0,high,"The model explicitly identifies the incident as a 'robbery/assault' in its contextual relationships, but the ground truth only describes 'Fighting' involving threats and physical violence, with no mention of property being taken or demanded, which are key elements of robbery.",,,
Claude,CHAIN-OF-THOUGHT,Robbery005_x264,Robbery,GPT,1,0,0,0,1,1,medium,"Model describes a 'commercial strip mall/gas station area' and an 'interior office/room scene with multiple people,' which are not in the ground truth (GT is a store robbery with a red-light shop and car at entrance). It also adds a dark sedan/SUV getaway vehicle and multiple additional people/entry of multiple people early, none of which are specified in the GT.",,,
Claude,CHAIN-OF-THOUGHT,Robbery005_x264,Robbery,Gemini,1,0,0,0,0,1,high,"The model hallucinates an 'interior office/room scene with multiple people' in the final frames, contradicting the ground truth. It also fabricates 'multiple people' entering the store and a 'person in dark clothing' not mentioned in the ground truth.",,,
Claude,CHAIN-OF-THOUGHT,Robbery010_x264,Robbery,GPT,1,0,0,0,1,0,high,"The model describes the setting as a 'jewelry store with wooden/glass display cases' and mentions desks/computer equipment and a security camera system, none of which appear in the ground-truth description (H1/H5). It still classifies the event as a robbery and does not contradict the core gunpoint robbery described in the ground truth.",,,
Claude,CHAIN-OF-THOUGHT,Robbery010_x264,Robbery,Gemini,1,0,0,0,1,0,high,"The model hallucinates the scene as a 'Jewelry store' with 'wooden display cases' and 'jewelry/small valuables' (H1), which contradicts the ground truth describing a location where 'money' is collected at a 'counter'. It also fabricates specific entities like 'computer equipment', 'office/workspace area in back', and 'security camera system' (H5) not mentioned in the ground truth.",,,
Claude,CHAIN-OF-THOUGHT,Shooting005_x264,Shooting,GPT,1,0,0,0,1,1,medium,"Ground truth describes actions in/around a house (men entering/exiting, running with a gun, flashlight shining into the house), but the model instead places events in a ""corridor"" with ""architectural columns/pillars,"" a ""bench,"" ""chair,"" and ""staircase,"" which are not supported by the annotation (H1/H5). The model also reduces the actors to a single primary silhouette, contradicting the GT's multiple men (H6).",,,
Claude,CHAIN-OF-THOUGHT,Shooting011_x264,Shooting,GPT,1,0,0,0,1,1,medium,"The model describes a delivery/service area with a red delivery scooter, ""DELIVERY"" signage, commercial kitchen equipment, and smoke/fire developing, none of which appear in the ground truth (H1/H5). It also asserts 3–4 perpetrators and a victim in bright yellow/lime clothing, while the ground truth only specifies two armed men and women in red/white (H6).",,,
Claude,CHAIN-OF-THOUGHT,Shooting011_x264,Shooting,Gemini,0,0,0,0,1,1,high,"The model fabricates specific entities such as a 'Red delivery motorcycle/scooter', 'DELIVERY signage', 'Commercial kitchen equipment', and 'smoke/fire develops' which are not mentioned in the ground truth. It also fabricates a specific actor, 'Person in bright yellow/lime green clothing', not present in the ground truth.",,,
Claude,CHAIN-OF-THOUGHT,Shoplifting004_x264,Shoplifting,GPT,0,0,0,0,1,1,medium,"The model describes a prayer interlude (Islamic sujud), scattered items on the floor, and a later investigation with uniformed/official personnel, none of which appears in the ground truth (which stays at a counter/table with customers exchanging money and bagging items). These additions constitute fabricated entities/actors (uniformed officials) and scene elements (prayer/investigation aftermath).",,,
Claude,CHAIN-OF-THOUGHT,Stealing003_x264,Stealing,GPT,0,0,0,0,0,0,low,"The model output is truncated/incomplete and stays largely generic (parking lot, multiple cars, one person moving). It does not clearly contradict the ground truth with specific wrong scene elements, actors, or an alternative crime type, nor does it explicitly claim nothing criminal happened.",,,
Claude,CHAIN-OF-THOUGHT,Vandalism004_x264,Vandalism,GPT,1,0,0,0,1,1,high,"Ground truth describes a single black car repeatedly ramming the fence around a traffic light at an intersection, but the model describes a broader construction/barrier scene with blue/white barriers and a large wheeled cart/container (H1/H5). It also introduces multiple vehicles and a person in red/pink on foot coordinating actions, which are not present in the ground truth (H6).",,,
Claude,CHAIN-OF-THOUGHT,Vandalism004_x264,Vandalism,Gemini,0,0,0,0,1,1,high,"The model fabricates a 'Large blue and white wheeled cart/container' and multiple specific types of barriers ('white rectangular structures, blue and white barriers, construction fencing') not present in the ground truth. It also fabricates 'One person in red/pink clothing' and mentions 'multiple dark-colored cars/SUVs' when the ground truth consistently refers to 'A black car' (singular).",,,
Claude,CHAIN-OF-THOUGHT,Vandalism001_x264,Vandalism,GPT,1,0,0,0,1,1,high,"Ground truth shows a black car repeatedly crashing into a traffic-light fence in an intersection, but the model describes an outdoor courtyard/plaza with a water fountain, tarps, containers, and scattered granular material. It also invents multiple people and a main dark-haired perpetrator plus objects (bucket, blue tarp, tent-like structure) that are not present in the ground truth.",,,
Claude,CHAIN-OF-THOUGHT,Vandalism001_x264,Vandalism,Gemini,1,0,0,0,1,1,high,"The model describes an 'outdoor courtyard/plaza area' with a 'water fountain' and 'tarps' and 'granular material' being manipulated by 'people', which directly contradicts the ground truth of a 'black car' repeatedly hitting a 'fence around a traffic light' in the 'middle of the road'.",,,
Claude,LEAST-TO-MOST,Abuse003_x264,Abuse,GPT,0,0,0,0,0,0,high,"The model output contains only API/connection error messages and provides no descriptive claims about the scene, actors, objects, or crime. With no assertions to compare against the ground truth, no hallucinations can be identified.",,,
Claude,LEAST-TO-MOST,Abuse003_x264,Abuse,Gemini,0,0,0,0,0,0,high,"The model output consists entirely of API error messages and does not provide any descriptive content about the video. Therefore, no hallucinations can be identified as there is no content to compare against the ground truth.",,,
Claude,LEAST-TO-MOST,Abuse012_x264,Abuse,GPT,0,0,0,0,0,0,high,"The model output contains only API error messages and no descriptive claims about the scene, actors, objects, or crime. With no assertions made, there is nothing to contradict the ground truth or constitute a hallucination under the taxonomy.",,,
Claude,LEAST-TO-MOST,Abuse012_x264,Abuse,Gemini,0,0,0,0,0,0,high,"The model output consists entirely of API error messages and provides no descriptive content about the video. Therefore, it cannot exhibit any of the defined hallucination types.",,,
Claude,LEAST-TO-MOST,Arson002_x264,Arson,GPT,1,0,0,0,1,1,high,"GT is a house door/window arson with gasoline poured and ignited, but the model places the scene in a stairwell/underground transit platform with trash bins, railings, pillars, and a security gate (scene fabrication) and never mentions the house/window/gasoline/fire. It also adds specific objects/actors not in GT (trash bins, tarp, subway platform; a separate 'person in dark clothing').",,,
Claude,LEAST-TO-MOST,Arson002_x264,Arson,Gemini,1,0,0,0,1,0,high,"The model fabricates the scene, describing an urban/transit station environment with staircases, trash bins, and security gates (H1, H5), which directly contradicts the ground truth of a man at the door and window of a house. The model does not identify any crime, thus it cannot misclassify or minimize it, nor does it explicitly state the scene is normal.",,,
Claude,LEAST-TO-MOST,Arson003_x264,Arson,GPT,1,0,0,0,1,0,medium,"GT describes a room with cabinets on both sides, a pool table, and fire spreading after gasoline is poured; the model instead describes an office/reception space with a curved counter, chairs, windows, and stacked boxes/papers. These specific scene elements (curved counter, office materials/boxes) are not supported by the GT description, indicating fabricated setting/details.",,,
Claude,LEAST-TO-MOST,Arson003_x264,Arson,Gemini,1,0,1,0,1,0,high,"The model describes an 'office environment' with a 'curved counter' and 'chairs', which directly contradicts the ground truth's 'cabinets' and 'pool table' (H1). It states the 'scene appears static' and only notes 'disturbance or movement of materials', completely omitting the arson described in the ground truth (H3). The model fabricates specific entities like a 'curved/semicircular counter or desk', 'chairs', 'windows', and 'stacked boxes or packages' that are not present in the ground truth (",,,
Claude,LEAST-TO-MOST,Assault001_x264,Assault,GPT,0,0,0,0,0,0,high,"The model output refuses to analyze and does not describe any events, setting, entities, or actors from the video, so it neither contradicts nor fabricates details relative to the ground truth assault.",,,
Claude,LEAST-TO-MOST,Assault001_x264,Assault,Gemini,0,0,0,0,0,0,high,"The model refuses to analyze the content due to its violent nature, which is a policy-based refusal. It does not describe any specific details of the scene, crime, or entities, thus it does not fabricate or misrepresent any information from the ground truth.",,,
Claude,LEAST-TO-MOST,Assault002_x264,Assault,GPT,1,0,0,0,1,0,high,"GT describes an office with an inner desk where a crowd assaults a man; the model instead describes a restaurant/café/gaming establishment with dining tables/booths, which contradicts the setting (H1). It also adds specific objects like ""gaming machines/arcade units"" and a ""Cam 28"" marking and timestamp that are not supported by the GT description (H5).",,,
Claude,LEAST-TO-MOST,Assault002_x264,Assault,Gemini,1,0,0,0,1,0,high,"The model describes the scene as a 'restaurant, café, or gaming establishment' with 'dining furniture' and 'gaming machines,' directly contradicting the ground truth of an 'office' (H1). It also fabricates specific entities like 'dining/restaurant tables,' 'booth seating,' and 'gaming machines' not present in the ground truth (H5).",,,
Claude,LEAST-TO-MOST,Burglary008_x264,Burglary,GPT,0,0,1,0,1,0,medium,"The model says ""no visible movement or people present"" and ""scene appears undisturbed,"" which contradicts the burglary actions described in the ground truth (men entering and removing an iron box). It also introduces specific unverified features like ""booth seating,"" a ""service counter/bar,"" and ""possible refrigeration/display units"" that are not mentioned in the ground truth annotation.",,,
Claude,LEAST-TO-MOST,Burglary008_x264,Burglary,Gemini,0,0,1,0,0,1,high,The model explicitly states 'no visible movement or people present' and 'The scene appears undisturbed' (H3) while the ground truth describes two men committing a burglary (H6).,,,
Claude,LEAST-TO-MOST,Explosion002_x264,Explosion,GPT,0,0,0,1,0,0,medium,"The model explicitly characterizes the scene as ""typical fuel station operations"" with ""normal station operations,"" while the ground truth describes a fire/ignition during refueling requiring a fire extinguisher response (an explosion/fire incident). Other listed objects (tanker truck, pumps, canopy, extinguisher) do not clearly contradict the ground truth.",,,
Claude,LEAST-TO-MOST,Explosion002_x264,Explosion,Gemini,0,0,1,0,1,0,high,"The model explicitly states the scene shows 'normal station operations' and 'minimal change' despite the ground truth describing a car catching fire and an explosion, which is a clear crime omission. Additionally, the model fabricates a 'White pickup truck' when the ground truth specifies a 'black car', which is an entity fabrication.",,,
Claude,LEAST-TO-MOST,Explosion026_x264,Explosion,GPT,0,0,0,0,1,0,medium,"Ground truth describes a roadside scene with pedestrians and heavy smoke/explosion aftermath, but the model repeatedly identifies multiple parked sedans (including a red/pink car) and a parking-lot layout; these specific vehicle claims are not supported by the provided ground truth objects/events.",,,
Claude,LEAST-TO-MOST,Explosion026_x264,Explosion,Gemini,1,0,1,0,1,1,high,"The model describes a 'parking area' with 'parked vehicles' and 'parking space lines' (H1, H5) which contradicts the ground truth of a 'roadside' with no vehicles mentioned. It completely omits the 'Explosion' event, describing a normal scene with 'pedestrians moving' (H3). The model also fabricates a 'red/pink colored car' and a 'person in orange/yellow colored clothing' not present in the ground truth (H5, H6).",,,
Claude,LEAST-TO-MOST,Fighting003_x264,Fighting,GPT,0,0,0,0,0,0,medium,"The model describes a subway/metro platform with pillars, tiled flooring, and multiple people, which is consistent with the ground-truth platform setting and presence of pedestrians. It does not explicitly claim an incorrect crime type or deny the fight; most content is generic scene-object listing without specific contradictory entities.",,,
Claude,LEAST-TO-MOST,Fighting016_x264,Fighting,GPT,0,0,0,0,0,0,medium,"The model output mainly describes a generic retail/convenience store setting and an unspecified ""incident,"" which does not contradict the ground truth store fight. It does not assert a different crime type, deny criminal activity, or introduce clearly false specific actors/objects relative to the annotation.",,,
Claude,LEAST-TO-MOST,Fighting016_x264,Fighting,Gemini,0,0,0,0,0,0,high,"The model explicitly identifies the video as a 'Fighting video' involving 'real violence or criminal activity,' aligning with the crime type and not misclassifying or omitting the crime. It then describes the general retail environment, which is consistent with the ground truth's 'in the store' setting, without fabricating specific objects or actors not present.",,,
Claude,LEAST-TO-MOST,Robbery005_x264,Robbery,GPT,0,0,0,0,0,0,medium,"The model output mostly lists generic convenience-store fixtures and notes two individuals (one in red and one in blue/teal), which is consistent with the ground truth setting and actors. It does not introduce a contradictory scene or extra specific actors/objects, and it does not misclassify or deny the robbery (it simply doesn’t describe it).",,,
Claude,LEAST-TO-MOST,Robbery005_x264,Robbery,Gemini,0,0,0,0,0,0,high,"The model accurately describes a retail environment and two individuals, which is consistent with the ground truth's 'red light shop' and 'man in blue'/'man in red'. While the model omits the crime details, it does not explicitly contradict the ground truth by fabricating a wrong scene, misclassifying the crime, stating the scene is normal, minimizing severity, or fabricating specific entities or actors not present.",,,
Claude,LEAST-TO-MOST,Robbery010_x264,Robbery,GPT,0,0,0,0,0,0,medium,"The model output mainly lists generic indoor shop/office fixtures (counters, desks, monitors, papers) and does not describe any specific actors or events that contradict the robbery ground truth. It also does not misclassify the crime or claim the scene is non-criminal; it simply omits the robbery actions.",,,
Claude,LEAST-TO-MOST,Robbery010_x264,Robbery,Gemini,0,0,0,0,0,0,high,"The model output describes the static environment and objects, which are plausible for the setting where the robbery occurred. It does not contradict the ground truth regarding the scene, crime type, severity, specific objects, or actors. The model simply fails to describe the actual crime event, but this is not a hallucination based on the strict taxonomy provided.",,,
Claude,LEAST-TO-MOST,Shooting005_x264,Shooting,GPT,0,0,0,0,0,0,high,"The model output refuses to analyze and does not describe any scene details, actors, objects, or actions, so there are no contradictions or fabricated elements relative to the ground truth. It also does not reclassify the crime type or claim the scene is non-criminal.",,,
Claude,LEAST-TO-MOST,Shooting005_x264,Shooting,Gemini,0,0,0,0,0,0,high,"The model consistently refuses to analyze the video due to its perceived nature as a 'potential crime scene' or 'shooting video.' It does not describe any specific scene, crime type, events, entities, or actors, thus none of the hallucination criteria are met.",,,
Claude,LEAST-TO-MOST,Shooting011_x264,Shooting,GPT,0,0,0,0,0,0,low,"The model mostly refuses to analyze the crime and then lists generic indoor commercial-space objects (chairs, fan, tiled floor, doorway). The ground truth does not provide enough scene detail to specifically contradict these object claims, and the model does not explicitly misclassify or deny the shooting/robbery activity.",,,
Claude,LEAST-TO-MOST,Shooting011_x264,Shooting,Gemini,0,0,0,0,0,0,high,"The model explicitly acknowledges the crime type ('shooting incident') but refuses to analyze the criminal activity, thus not misclassifying or omitting the crime. Its description of the scene as a 'commercial or semi-commercial space' is consistent with a 'store' mentioned in the ground truth, and the listed objects are plausible for such a setting without directly contradicting the ground truth's narrative focus.",,,
Claude,LEAST-TO-MOST,Shoplifting004_x264,Shoplifting,GPT,0,0,0,0,0,1,medium,"The model repeatedly states only ""two individuals"" are present, while the ground truth describes multiple distinct people moving through the scene (man with glasses, hooded man, fat man in white, hunchbacked old man, bald old man, etc.). Other described objects (counter, papers, calculator/POS, shelves) are plausible and not clearly contradicted by the ground truth.",,,
Claude,LEAST-TO-MOST,Stealing003_x264,Stealing,GPT,0,0,0,0,0,0,high,"The model output contains only API/connection error messages and makes no claims about the scene, actors, objects, or crime. With no substantive description, there is nothing that contradicts the ground truth or misclassifies/omits the crime.",,,
Claude,LEAST-TO-MOST,Stealing003_x264,Stealing,Gemini,0,0,0,0,0,0,high,"The model output consists entirely of API error messages and provides no descriptive content about the video, therefore it cannot be flagged for any type of hallucination as it makes no claims.",,,
Claude,LEAST-TO-MOST,Vandalism004_x264,Vandalism,GPT,0,0,0,0,0,0,medium,"The model output mainly lists generic roadway/intersection elements and a dark car at night, which is consistent with the ground truth of a black car repeatedly hitting a traffic-light fence at an intersection. It does not introduce specific contradictory actors or clearly impossible objects, nor does it misclassify the crime type.",,,
Claude,LEAST-TO-MOST,Vandalism004_x264,Vandalism,Gemini,0,0,0,0,0,0,high,"The model output only describes visible objects and scene context, which aligns with the ground truth's description of the location and the presence of a car and barriers. It does not attempt to describe actions, classify a crime, or state the scene is normal, thus avoiding all defined hallucination types.",,,
Claude,LEAST-TO-MOST,Vandalism001_x264,Vandalism,GPT,1,0,0,0,1,1,high,"Ground truth is a black car repeatedly crashing into a traffic-light fence in a road intersection, but the model describes a landscaped courtyard/plaza with beams, steps, and a residential/commercial walkway (scene fabrication). It also adds specific entities and actors not in GT: a white vehicle, a pink/magenta vehicle/object, plastic bag/debris, and multiple individuals.",,,
Claude,LEAST-TO-MOST,Vandalism001_x264,Vandalism,Gemini,1,0,0,0,1,1,high,"The model describes the scene as a 'plaza, courtyard, or similar public space' with 'steps or tiered seating area' and 'landscaped area', which contradicts the ground truth's description of a 'fence around the traffic light in the middle of the road' at an 'intersection' (H1). The model fabricates specific objects like a 'White vehicle', 'Pink/magenta colored vehicle or object', 'white plastic bag', 'structural beams', 'retaining wall', 'steps or tiered seating area', and 'planted flower beds', ",,,
Claude,META-PROMPTING,Abuse003_x264,Abuse,GPT,0,0,0,0,0,0,high,"The model output contains no concrete description of the video’s setting, actions, objects, or people; it mainly refuses and discusses general frameworks. Since it makes no specific factual claims about the incident, there is nothing to contradict the ground-truth details or crime type.",,,
Claude,META-PROMPTING,Abuse003_x264,Abuse,Gemini,0,0,0,0,0,0,high,"The model explicitly refused to analyze the video content due to ethical safeguards related to 'abuse content'. It did not provide any description of the scene, crime, entities, or actors, thus making no claims that could contradict the ground truth.",,,
Claude,META-PROMPTING,Abuse012_x264,Abuse,GPT,0,0,0,0,0,0,high,"The model output provides generic forensic-analysis prompts and does not assert any concrete facts about the video’s setting, actors, objects, or actions, nor does it reclassify or deny the abuse. Therefore there are no specific contradictions with the ground-truth events.",,,
Claude,META-PROMPTING,Abuse012_x264,Abuse,Gemini,0,0,0,0,0,0,high,"The model output provides general prompts for video analysis in abuse cases rather than analyzing the specific video content described in the ground truth. It does not make any claims about the video's scene, crime, entities, or actors, thus no hallucinations can be identified.",,,
Claude,META-PROMPTING,Arson002_x264,Arson,GPT,0,0,0,0,0,0,high,"The model output does not describe any concrete scene content or events; it only provides generic prompt templates for arson analysis. Since it makes no specific claims about setting, actors, objects, or actions, there is nothing that contradicts the ground-truth arson sequence.",,,
Claude,META-PROMPTING,Arson002_x264,Arson,Gemini,0,0,0,0,0,0,high,"The model output provides optimized prompts for video analysis rather than a description of the video content itself. It does not make any factual claims about the scene, crime, entities, or actors that could contradict the ground truth.",,,
Claude,META-PROMPTING,Arson003_x264,Arson,GPT,0,0,0,0,0,0,high,"The model output contains only generic prompt templates/questions for analyzing an arson video and does not assert any concrete scene details, actors, objects, or an alternative crime type that could contradict the ground truth.",,,
Claude,META-PROMPTING,Arson003_x264,Arson,Gemini,0,0,0,0,0,0,high,"The model output provides prompts for video analysis rather than describing the content of the video itself. It does not make any factual claims about the scene, crime events, or entities within the video that could contradict the ground truth.",,,
Claude,META-PROMPTING,Assault001_x264,Assault,GPT,0,0,0,0,0,0,high,"The model output contains only generic, self-generated analysis prompts and does not assert any concrete facts about the setting, actors, objects, or actions. Since it makes no specific claims that could contradict the ground truth, there are no identifiable hallucinations to flag.",,,
Claude,META-PROMPTING,Assault001_x264,Assault,Gemini,0,0,0,0,0,0,high,"The model output provides self-generated optimized prompts for video analysis related to an assault case, rather than a description of the video content itself. Therefore, it does not make any factual claims about the scene, crime events, or entities that could contradict the ground truth.",,,
Claude,META-PROMPTING,Assault002_x264,Assault,GPT,0,0,0,0,0,0,high,"The model output contains only generic, self-referential analysis prompts and does not make any concrete claims about the video’s setting, actions, objects, or participants that could contradict the ground truth. It also does not reclassify or deny the assault, so no hallucination categories are triggered.",,,
Claude,META-PROMPTING,Assault002_x264,Assault,Gemini,0,0,0,0,0,0,high,"The model output consists of self-generated prompts for video analysis related to an 'Assault Case Investigation', which matches the crime type. It does not describe the specific events, scene, or entities within the video, but rather provides a framework for analysis. Therefore, it does not make any factual claims that could contradict the ground truth.",,,
Claude,META-PROMPTING,Burglary008_x264,Burglary,GPT,0,0,0,0,0,0,high,"The model output contains generic prompt templates/questions for analyzing a burglary video and does not assert any specific scene details, actions, objects, or additional people that could contradict the ground truth. It also does not misclassify the crime type or claim no crime occurred.",,,
Claude,META-PROMPTING,Burglary008_x264,Burglary,Gemini,0,0,0,0,0,0,high,"The model output provides optimized prompts for analyzing a burglary case, not a description of the specific video content. It correctly identifies the crime type as 'Burglary' and does not make any specific claims about the scene, entities, or actors that could contradict the ground truth.",,,
Claude,META-PROMPTING,Explosion002_x264,Explosion,GPT,0,0,0,0,0,0,high,"The model output provides only a generic video-analysis framework and does not describe the video’s setting, actors, objects, or events, nor does it assert any crime type or claim the scene is non-criminal. Therefore, there are no specific contradictory claims to the ground truth.",,,
Claude,META-PROMPTING,Explosion002_x264,Explosion,Gemini,0,0,0,0,0,0,high,"The model output does not describe the video content at all. Instead, it provides a general framework for video analysis, thus it cannot contain specific factual contradictions to the ground truth regarding the video's events, scene, or actors.",,,
Claude,META-PROMPTING,Explosion026_x264,Explosion,GPT,0,0,0,0,0,0,high,"The model output does not describe any concrete scene events, actors, or objects from the video; it provides a generic analysis framework and meta-evaluation. Since it makes no specific claims that contradict the ground truth, there are no detectable hallucinations under the taxonomy.",,,
Claude,META-PROMPTING,Explosion026_x264,Explosion,Gemini,0,0,0,0,0,0,high,"The model output is a meta-response about video analysis methodology and does not attempt to describe the video content. Therefore, it does not contain specific contradictory details that would qualify as hallucinations under the given taxonomy.",,,
Claude,META-PROMPTING,Fighting003_x264,Fighting,GPT,0,0,0,0,0,0,high,"The model output does not describe any concrete events, setting details, objects, or actors from the video; it only provides generic prompt templates for analyzing a fighting case. Since it makes no specific factual claims that could contradict the ground truth, there are no hallucinations to flag.",,,
